NDA,INDIA,YSRCP,AAP,AD(WPD),AIMIM,ASP(KR),SAD,UPPL,ZPM,JKAIP,IND,is_hung
252,248,22,3,5,4,2,1,2,0,0,4,True
279,239,3,3,0,4,1,3,1,2,1,7,False
268,241,14,4,1,4,1,3,0,1,1,5,True
274,214,23,7,4,5,2,5,0,2,2,5,False
289,226,5,11,1,2,2,4,1,1,0,1,False
268,225,25,15,5,0,0,1,1,1,1,1,True
303,210,1,10,5,0,1,4,2,2,1,4,False
311,196,6,9,4,0,2,2,1,2,0,10,False
252,256,10,4,4,3,0,3,2,1,2,6,True
297,202,19,3,5,3,1,0,2,0,1,10,False
263,240,18,6,1,4,2,4,1,0,1,3,True
306,213,7,1,5,4,0,2,1,1,2,1,False
285,223,7,15,5,0,2,1,0,0,0,5,False
295,215,15,6,0,0,1,1,2,1,1,6,False
265,241,9,9,4,4,2,0,2,1,2,4,True
297,196,21,11,1,3,2,3,2,2,1,4,False
245,269,6,8,0,4,1,2,1,1,2,4,True
310,206,0,7,5,6,2,3,1,0,0,3,False
288,227,7,0,3,6,2,2,1,0,0,7,False
315,191,11,4,1,4,2,3,2,2,2,6,False
285,205,21,10,2,5,2,3,0,2,1,7,False
252,268,1,1,3,4,2,2,1,1,2,6,True
240,273,2,13,0,2,3,3,2,2,1,2,False
267,240,9,0,4,6,3,2,2,2,2,6,True
236,282,5,5,0,4,2,0,0,1,1,7,False
233,281,10,12,1,0,0,2,2,0,1,1,False
279,219,15,9,2,4,0,4,2,2,1,6,False
295,202,25,3,0,4,0,5,1,0,2,6,False
248,265,12,0,4,2,2,5,1,2,0,2,True
245,264,11,4,4,4,3,1,2,1,1,3,True
256,237,15,15,5,1,2,0,2,1,1,8,True
245,258,11,13,3,2,3,2,1,0,0,5,True
216,282,19,10,4,3,0,2,1,2,0,4,False
303,224,2,6,0,0,1,1,1,0,0,5,False
286,217,18,4,2,2,2,4,2,1,1,4,False
315,194,8,12,2,1,2,1,2,2,0,4,False
291,231,4,7,2,3,0,1,2,0,0,2,False
276,226,10,15,0,1,0,3,0,2,1,9,False
275,215,20,6,4,5,2,4,0,2,2,8,False
241,273,11,2,1,3,1,0,1,1,0,9,False
288,220,21,5,0,0,3,4,2,0,0,0,False
262,248,16,1,5,4,1,4,2,0,0,0,True
321,184,15,6,4,0,3,4,1,0,2,3,False
291,237,5,6,0,0,1,0,1,2,0,0,False
247,263,7,7,0,2,1,2,1,2,1,10,True
298,219,5,5,3,1,3,2,2,2,1,2,False
303,211,6,13,2,0,1,2,2,2,0,1,False
324,198,9,2,0,6,0,0,2,0,2,0,False
272,220,21,10,2,1,0,4,0,1,2,10,False
307,191,7,14,3,4,1,0,2,2,2,10,False
275,227,7,15,3,3,3,3,2,2,0,3,False
274,249,3,4,3,4,0,2,0,0,1,3,False
295,214,20,1,5,0,2,2,1,0,2,1,False
263,238,18,9,1,4,2,1,0,2,0,5,True
278,218,22,2,5,4,0,1,2,1,0,10,False
288,203,25,0,4,6,2,3,1,0,1,10,False
222,290,9,8,0,4,0,1,2,0,1,6,False
264,246,9,11,5,5,0,0,0,1,0,2,True
268,239,17,3,2,3,0,2,1,1,2,5,True
256,245,16,8,1,4,2,4,0,1,2,4,True
338,174,0,11,2,3,1,2,2,0,2,8,False
295,222,4,9,2,1,1,5,0,0,2,2,False
268,231,19,11,1,1,1,1,1,1,1,7,True
289,217,9,7,0,5,2,4,1,2,2,5,False
289,199,21,14,4,6,3,4,1,0,0,2,False
252,256,10,0,1,5,3,2,2,2,2,8,True
287,219,15,4,2,4,2,3,1,1,0,5,False
255,263,11,6,0,1,1,2,1,1,1,1,True
291,222,9,11,0,2,0,5,2,0,0,1,False
253,253,13,12,2,1,1,1,2,0,1,4,True
248,267,12,4,0,0,0,2,0,2,0,8,True
284,225,20,1,1,1,0,1,0,2,0,8,False
266,249,1,12,2,5,1,4,1,0,1,1,True
315,199,5,7,2,0,3,4,2,1,1,4,False
306,212,2,4,2,1,0,5,1,1,1,8,False
300,204,20,5,4,2,0,4,0,2,0,2,False
256,262,8,1,1,5,2,0,1,0,0,7,True
302,202,16,6,0,3,0,1,2,2,0,9,False
256,258,16,4,3,2,2,1,0,0,0,1,True
215,298,1,13,0,5,1,3,0,1,1,5,False
263,244,20,6,2,0,1,0,0,2,0,5,True
274,256,2,2,2,2,2,1,0,0,2,0,False
295,212,5,15,0,2,3,3,0,1,2,5,False
270,233,16,2,4,5,0,4,2,2,1,4,True
309,184,19,13,4,2,2,0,2,1,0,7,False
277,237,1,11,3,4,3,1,0,2,1,3,False
248,258,18,0,3,6,1,1,2,0,1,5,True
322,192,10,2,4,4,1,2,0,2,1,3,False
249,252,16,6,1,3,2,3,0,1,1,9,True
286,222,14,2,0,4,3,5,1,0,2,4,False
231,270,17,10,1,5,1,3,2,1,0,2,True
233,271,16,4,3,4,1,2,2,1,0,6,True
274,227,16,13,1,2,0,3,1,1,2,3,False
279,237,6,2,4,0,1,4,0,1,2,7,False
292,203,25,6,4,1,0,4,2,2,2,2,False
293,231,3,2,4,1,3,0,0,0,0,6,False
269,238,15,2,4,2,2,3,1,1,1,5,True
306,202,7,9,0,2,2,5,1,1,1,7,False
305,189,15,6,4,6,3,3,1,1,0,10,False
274,243,6,4,4,2,2,2,1,1,2,2,False
302,193,9,13,5,5,1,4,2,2,0,7,False
287,228,5,9,0,2,2,2,2,0,1,5,False
300,214,7,4,2,4,1,2,0,0,1,8,False
238,275,13,2,2,0,0,2,1,2,0,8,False
279,220,20,13,4,0,0,2,1,2,0,2,False
332,189,0,5,2,4,3,5,0,2,1,0,False
324,183,14,11,1,1,1,5,0,1,1,1,False
268,249,12,2,0,2,1,2,0,1,0,6,True
283,231,0,13,0,5,0,2,0,0,2,7,False
221,297,7,5,1,3,0,2,0,0,1,6,False
296,207,7,11,4,4,3,4,2,1,1,3,False
234,264,17,11,1,3,0,4,0,0,1,8,True
339,188,8,2,1,3,1,0,1,0,0,0,False
244,253,23,13,0,0,1,3,2,2,1,1,True
268,241,1,15,1,6,3,4,1,2,0,1,True
271,229,13,11,3,1,1,4,0,1,1,8,True
294,225,7,5,2,1,2,1,1,2,2,1,False
325,190,8,2,0,1,0,4,0,1,2,10,False
309,181,23,9,1,3,2,2,0,2,2,9,False
279,239,9,2,2,1,1,2,2,0,0,6,False
230,271,20,8,2,5,1,4,1,0,1,0,True
294,221,7,6,2,1,1,2,0,2,0,7,False
264,254,4,6,4,1,0,3,0,0,1,6,True
270,240,18,1,2,0,0,1,1,2,2,6,True
307,191,19,13,0,3,3,2,2,2,1,0,False
285,224,13,10,2,1,1,4,0,0,2,1,False
299,225,2,7,3,1,0,0,1,2,0,3,False
282,242,6,0,3,2,1,1,2,1,1,2,False
271,249,0,11,3,0,3,0,0,0,1,5,True
290,207,5,14,5,5,0,4,2,1,0,10,False
308,203,5,7,0,2,1,5,0,1,2,9,False
314,183,18,13,1,3,2,2,0,2,2,3,False
298,211,18,8,2,0,2,1,0,0,2,1,False
272,248,0,7,2,2,2,2,1,1,1,5,False
233,265,17,12,3,2,2,1,0,1,2,5,True
270,242,7,10,2,3,1,1,2,1,0,4,True
308,202,8,2,3,5,3,2,2,0,2,6,False
271,238,11,3,3,4,2,4,0,1,0,6,True
328,171,15,14,4,2,0,4,2,1,2,0,False
305,184,24,10,5,3,0,0,1,2,0,9,False
257,253,5,7,2,0,2,4,2,0,2,9,True
308,199,19,8,0,1,2,0,1,1,0,4,False
247,251,6,15,0,6,3,5,2,0,2,6,True
279,238,12,4,0,0,1,3,1,1,0,4,False
251,258,15,7,4,2,2,2,0,1,0,1,True
282,239,4,11,0,1,2,1,2,1,0,0,False
298,215,11,6,2,3,2,0,1,2,0,3,False
291,235,3,0,3,3,2,2,2,0,1,1,False
302,207,12,5,1,0,2,5,0,1,0,8,False
242,275,5,1,3,3,3,4,2,1,1,3,False
258,261,10,0,1,3,1,5,1,2,1,0,True
237,267,13,4,3,6,1,0,0,2,2,8,True
330,186,7,0,0,5,3,0,2,1,0,9,False
290,220,15,5,3,3,3,0,0,2,0,2,False
314,195,12,4,1,6,0,0,2,2,0,7,False
253,254,2,13,2,4,1,4,1,0,2,7,True
253,247,9,8,5,6,0,5,1,2,2,5,True
274,235,21,6,1,2,0,2,0,0,2,0,False
259,250,15,6,1,5,3,3,0,0,0,1,True
311,190,6,14,3,1,1,3,1,2,2,9,False
263,250,17,0,2,1,3,0,0,0,0,7,True
239,272,5,7,3,3,3,1,1,2,2,5,False
259,251,13,13,0,2,0,0,1,0,1,3,True
252,257,18,5,1,4,0,2,1,0,1,2,True
245,270,4,10,0,3,3,1,2,2,2,1,True
260,253,15,2,3,0,2,2,1,1,0,4,True
305,208,6,13,0,2,2,2,2,1,2,0,False
286,233,5,3,4,3,2,0,1,2,0,4,False
248,262,6,6,3,0,3,3,2,1,2,7,True
299,207,9,9,1,4,3,3,0,1,1,6,False
270,225,20,12,3,2,2,2,1,1,1,4,True
226,284,12,7,3,1,2,4,1,0,1,2,False
257,254,2,10,1,6,2,1,1,0,0,9,True
320,193,7,3,2,2,1,3,0,2,2,8,False
235,269,20,2,4,2,3,2,2,0,1,3,True
272,238,10,2,4,3,3,4,0,0,1,6,False
236,271,14,10,0,5,0,2,1,2,0,2,True
278,239,4,2,1,3,1,2,2,0,2,9,False
272,249,5,5,2,0,0,2,2,0,2,4,False
311,191,12,11,0,5,1,2,1,1,0,8,False
248,258,10,7,2,5,2,4,1,1,1,4,True
320,187,18,0,3,3,1,2,1,1,1,6,False
281,221,14,11,4,0,2,1,0,1,0,8,False
258,252,13,10,0,5,0,1,0,1,2,1,True
283,224,13,13,2,2,2,2,1,0,0,1,False
273,225,21,0,3,6,3,2,0,2,0,8,False
305,201,18,2,1,5,3,1,2,2,2,1,False
242,254,23,12,2,1,2,1,1,2,1,2,True
235,256,25,7,4,1,3,4,1,2,1,4,True
267,245,17,2,3,0,2,2,1,2,2,0,True
265,222,24,9,4,5,3,0,0,1,1,9,True
262,251,7,3,1,1,2,2,1,1,2,10,True
260,239,17,9,0,5,0,2,1,1,0,9,True
255,238,25,12,0,6,3,0,1,1,0,2,True
273,231,11,8,1,2,0,5,0,2,1,9,False
303,212,15,4,0,1,1,0,0,2,1,4,False
317,191,9,12,3,2,1,0,0,0,2,6,False
255,264,4,3,2,5,2,4,0,2,0,2,True
301,192,23,14,3,2,0,3,1,2,1,1,False
228,280,4,14,0,5,3,2,0,2,0,5,False
290,231,1,10,0,4,2,1,1,0,2,1,False
252,240,16,8,3,4,3,2,2,2,2,9,True
302,195,18,10,1,3,1,3,2,0,1,7,False
242,270,0,9,4,5,0,4,1,1,1,6,True
289,228,1,14,1,0,2,2,1,2,0,3,False
252,251,13,5,3,5,1,4,2,0,0,7,True
266,243,7,10,1,4,3,4,2,0,1,2,True
285,228,7,7,2,2,1,0,1,1,2,7,False
319,181,20,6,2,6,3,0,1,2,1,2,False
251,259,4,9,3,5,1,1,1,1,1,7,True
308,198,18,3,2,0,1,5,1,2,0,5,False
248,259,22,7,0,2,0,2,0,1,0,2,True
209,286,20,11,0,2,3,3,0,0,0,9,False
223,282,15,13,4,2,3,1,0,0,0,0,False
286,228,11,1,0,6,0,0,0,0,1,10,False
285,230,2,11,0,4,1,4,0,1,1,4,False
287,228,8,6,3,2,0,2,0,0,1,6,False
308,201,9,2,4,1,3,5,2,0,2,6,False
258,249,18,1,4,4,0,1,1,0,1,6,True
263,260,2,3,4,3,0,1,1,1,0,5,True
263,248,4,8,5,0,1,4,1,2,1,6,True
313,195,19,7,0,2,1,0,2,0,0,4,False
274,231,16,3,4,4,1,2,0,2,2,4,False
276,233,2,8,4,6,3,2,2,1,1,5,False
294,231,2,1,2,2,2,2,1,1,1,4,False
272,224,23,13,3,3,2,1,1,0,0,1,False
313,186,17,6,2,5,2,4,2,0,0,6,False
327,184,2,14,4,1,1,3,0,0,1,6,False
266,241,7,12,0,1,0,5,2,1,0,8,True
251,260,8,13,3,1,2,1,1,0,2,1,True
268,226,16,13,0,5,0,3,1,1,2,8,True
244,274,7,3,2,3,2,3,0,0,2,3,False
222,279,10,13,4,5,2,3,2,0,0,3,False
281,234,2,7,1,3,2,2,1,1,2,7,False
306,209,10,4,3,0,1,1,1,2,2,4,False
266,249,2,14,5,4,0,0,2,0,0,1,True
246,262,22,4,4,0,0,0,2,1,2,0,True
225,301,2,2,3,4,0,2,2,1,1,0,False
248,257,14,12,0,0,2,1,1,2,1,5,True
302,192,22,3,4,4,0,4,0,1,2,9,False
297,216,12,3,4,3,2,2,2,0,2,0,False
255,249,13,12,2,0,1,2,1,1,0,7,True
263,246,11,10,1,3,0,0,2,1,1,5,True
315,212,4,0,5,1,2,2,0,1,0,1,False
222,275,13,13,2,1,2,5,1,0,0,9,False
245,263,11,0,4,4,2,4,0,2,0,8,True
247,259,20,1,0,5,0,3,2,1,1,4,True
276,232,12,2,3,4,2,0,2,2,0,8,False
272,229,17,7,3,2,3,4,0,2,0,4,False
327,187,8,3,4,3,2,4,1,2,0,2,False
274,233,13,4,1,4,2,1,1,1,1,8,False
264,242,2,12,4,6,2,0,1,0,2,8,True
312,208,7,1,2,3,3,3,0,0,1,3,False
213,286,18,7,1,5,0,2,2,2,0,7,False
278,223,10,15,5,3,1,0,0,0,0,8,False
284,222,17,5,3,0,0,2,2,1,1,6,False
278,237,12,0,5,4,1,2,0,1,2,1,False
309,201,12,4,2,3,1,2,2,2,0,5,False
296,222,4,8,0,0,2,3,2,1,2,3,False
317,190,2,11,5,6,1,0,2,1,0,8,False
305,193,18,10,3,3,1,4,2,2,2,0,False
265,236,23,8,3,1,3,2,0,2,0,0,True
249,263,2,14,3,2,0,2,0,2,0,6,True
274,245,6,0,5,6,3,1,2,1,0,0,False
281,226,0,13,4,3,3,5,2,0,2,4,False
269,252,3,6,0,1,1,4,2,1,0,4,True
277,252,4,2,3,1,0,0,1,1,1,1,False
278,239,10,2,3,3,1,1,1,1,1,3,False
248,266,10,6,3,2,0,5,0,1,0,2,True
218,297,10,5,4,0,2,2,1,0,2,2,False
271,245,7,2,1,4,2,4,0,1,0,6,True
250,252,15,13,2,2,2,0,0,1,2,4,True
318,198,10,9,2,0,0,5,1,0,0,0,False
331,183,18,3,2,1,2,0,1,0,0,2,False
311,208,9,5,5,2,1,1,0,0,1,0,False
272,227,8,13,3,6,1,5,0,1,2,5,False
314,201,0,11,0,4,2,4,1,2,0,4,False
222,270,17,11,4,2,0,5,1,0,2,9,True
259,265,0,1,1,4,0,0,2,2,2,7,True
285,226,11,11,2,0,2,1,2,1,2,0,False
288,225,11,4,4,2,3,2,0,2,0,2,False
268,240,18,5,3,2,2,2,0,1,1,1,True
269,248,1,2,4,2,2,3,1,1,1,9,True
312,190,15,13,0,4,1,4,1,2,0,1,False
297,215,12,2,1,4,1,3,0,0,0,8,False
327,182,8,8,2,5,1,0,1,1,0,8,False
269,230,16,10,1,1,0,4,1,0,1,10,True
238,284,5,2,1,2,0,3,1,2,1,4,False
294,207,19,1,4,6,3,2,0,2,0,5,False
261,247,18,1,4,0,2,4,1,2,1,2,True
270,234,17,7,4,2,1,1,1,2,2,2,True
261,254,13,1,3,0,0,3,0,1,1,6,True
288,197,21,15,5,5,1,5,1,0,2,3,False
306,200,19,7,2,2,2,0,1,1,1,2,False
299,224,4,3,4,1,1,3,0,1,0,3,False
277,222,22,10,0,2,1,3,0,2,0,4,False
214,278,20,11,2,0,2,2,2,2,1,9,False
305,224,0,1,2,3,0,0,2,2,0,4,False
219,267,20,12,3,4,3,3,1,2,1,8,True
259,267,1,0,0,3,2,1,0,2,2,6,True
286,238,0,3,5,2,2,4,0,0,2,1,False
247,260,15,10,0,1,1,1,0,2,0,6,True
279,246,4,4,3,2,2,0,0,2,1,0,False
322,168,22,10,5,5,1,4,0,1,0,5,False
304,213,2,4,3,3,2,2,0,1,1,8,False
252,263,17,1,2,2,0,1,2,1,0,2,True
284,225,2,13,5,3,2,5,2,0,2,0,False
248,263,21,1,1,1,1,5,0,0,0,2,True
245,268,10,7,4,4,0,2,0,2,0,1,True
297,220,2,10,1,5,3,2,1,1,1,0,False
287,221,20,1,3,5,3,1,0,2,0,0,False
277,232,14,10,0,0,1,0,1,0,1,7,False
305,201,11,7,4,2,1,4,2,1,0,5,False
269,248,8,2,2,4,2,0,0,1,0,7,True
229,265,22,10,4,1,3,2,0,1,1,5,True
263,250,11,5,4,2,3,1,2,1,0,1,True
273,247,4,7,2,0,1,3,2,2,0,2,False
304,217,15,0,0,0,1,4,0,2,0,0,False
253,270,2,1,4,4,1,4,2,1,1,0,True
254,254,5,14,5,1,1,1,1,0,1,6,True
274,236,4,11,4,4,1,4,1,2,0,2,False
264,232,17,4,4,2,2,4,1,2,2,9,True
282,231,5,8,5,3,1,0,1,0,2,5,False
273,217,25,15,5,0,0,1,2,2,2,1,False
219,278,22,10,0,0,0,4,2,1,0,7,False
212,276,21,10,5,4,1,1,2,2,0,9,False
238,274,4,11,2,3,2,4,1,2,1,1,False
255,241,20,9,2,4,3,3,0,0,1,5,True
283,219,16,7,2,3,2,3,0,1,0,7,False
279,225,20,7,0,3,3,0,0,0,2,4,False
278,236,11,8,1,0,1,2,0,0,0,6,False
274,234,7,7,4,3,1,2,2,1,1,7,False
230,287,9,8,1,2,1,0,2,0,1,2,False
250,240,24,15,2,3,3,1,2,0,0,3,True
213,279,21,5,5,5,3,4,1,0,2,5,False
273,247,3,5,1,0,2,4,2,1,1,4,False
297,213,13,2,3,4,2,2,0,0,1,6,False
259,247,9,10,3,1,2,0,1,2,1,8,True
234,263,21,10,5,3,2,2,2,0,0,1,True
307,205,8,12,2,1,0,1,2,1,2,2,False
288,218,11,10,4,2,3,3,0,2,1,1,False
274,238,1,11,4,4,1,2,1,1,1,5,False
264,251,12,0,0,5,3,3,0,2,0,3,True
297,202,22,9,1,4,0,2,1,1,2,2,False
242,258,23,6,0,6,1,1,1,0,2,3,True
275,237,6,6,0,4,3,5,0,0,1,6,False
342,174,6,4,1,3,3,0,2,1,1,6,False
233,281,6,8,4,4,1,2,1,0,2,1,False
260,249,2,13,2,0,2,3,1,2,1,8,True
261,245,4,9,1,4,3,5,2,0,0,9,True
304,204,8,15,2,0,2,1,1,0,1,5,False
311,207,4,2,1,3,0,2,2,2,1,8,False
278,229,19,1,3,2,2,4,1,0,1,3,False
267,237,11,11,2,1,2,3,1,1,1,6,True
319,203,2,2,2,5,3,1,2,1,0,3,False
230,268,20,11,3,3,1,3,0,0,0,4,True
273,216,9,14,3,5,3,5,1,2,2,10,False
277,219,16,14,5,3,0,2,2,1,1,3,False
254,246,19,3,5,0,2,2,2,2,1,7,True
291,232,3,5,1,3,2,1,0,2,1,2,False
263,231,17,10,4,3,1,4,0,0,2,8,True
242,256,21,11,0,4,0,4,0,2,0,3,True
234,272,9,10,0,3,3,5,0,1,1,5,False
304,200,20,3,1,5,2,2,2,1,1,2,False
247,251,14,12,2,6,2,0,2,1,1,5,True
254,257,13,7,1,2,1,2,0,1,0,5,True
238,248,20,13,4,5,0,2,1,2,1,9,True
286,222,2,10,3,1,3,5,1,0,2,8,False
266,234,13,9,0,6,1,2,0,2,0,10,True
252,264,3,2,3,4,2,0,2,1,2,8,True
280,228,14,7,0,2,2,3,1,2,0,4,False
254,267,7,2,2,1,2,2,2,2,0,2,True
273,224,22,2,0,6,3,1,0,1,1,10,False
303,199,11,9,3,3,3,5,0,1,2,4,False
291,211,6,12,5,5,1,0,0,1,1,10,False
335,174,17,4,1,3,0,2,1,0,1,5,False
319,197,1,8,1,4,0,3,2,0,0,8,False
301,208,5,13,5,2,1,4,0,0,2,2,False
289,220,22,0,4,1,0,4,1,2,0,0,False
249,254,8,10,4,5,2,3,1,2,1,4,True
253,245,17,12,3,0,2,1,0,0,1,9,True
279,232,2,9,0,5,3,5,0,0,0,8,False
235,287,4,0,1,5,2,2,1,1,1,4,False
268,249,15,2,2,0,3,0,0,1,0,3,True
275,219,20,11,1,4,2,3,1,2,1,4,False
253,255,15,1,2,4,0,4,2,2,0,5,True
261,238,19,4,3,4,3,4,1,2,0,4,True
314,194,11,9,3,0,1,1,1,0,1,8,False
316,195,22,2,0,0,0,5,0,2,1,0,False
303,197,13,9,3,1,3,3,0,1,0,10,False
296,200,15,9,3,0,3,4,2,2,2,7,False
246,265,7,3,4,6,2,4,0,0,2,4,True
279,230,4,12,4,4,1,3,2,1,1,2,False
286,227,15,0,1,5,1,2,1,1,2,2,False
311,199,9,8,5,1,2,0,0,2,2,4,False
290,220,7,6,1,5,1,1,1,2,0,9,False
255,245,22,5,1,4,0,2,2,1,2,4,True
269,241,14,1,2,2,3,0,2,1,1,7,True
239,284,4,0,4,4,3,2,0,0,1,2,False
330,185,20,3,0,1,0,2,0,1,1,0,False
283,241,6,1,1,4,1,1,1,1,0,3,False
300,199,13,15,2,0,2,0,0,0,2,10,False
267,238,14,8,3,5,2,0,1,2,1,2,True
286,224,12,5,0,2,1,4,0,0,1,8,False
275,223,16,10,1,6,2,0,1,2,1,6,False
267,244,19,2,3,3,0,3,0,1,0,1,True
312,199,5,12,5,0,1,4,2,2,1,0,False
325,191,3,9,3,0,0,3,0,2,1,6,False
277,224,8,10,3,4,2,1,2,1,2,9,False
287,225,16,6,3,2,2,0,1,0,1,0,False
218,289,19,3,0,4,3,1,1,0,2,3,False
252,239,15,13,0,6,2,5,2,0,0,9,True
276,225,14,15,5,3,0,2,2,0,1,0,False
271,219,17,14,0,5,2,5,2,0,2,6,True
258,238,25,9,2,2,3,1,0,1,2,2,True
259,249,5,10,1,0,1,5,2,1,1,9,True
237,261,16,10,1,5,2,5,0,1,2,3,True
315,189,17,9,1,0,2,1,1,0,2,6,False
323,186,5,8,3,4,3,4,0,0,2,5,False
297,225,1,6,3,3,0,1,2,2,2,1,False
258,249,13,8,2,1,1,3,0,0,1,7,True
279,236,12,1,1,0,3,3,0,0,0,8,False
255,254,10,10,3,1,2,3,2,2,0,1,True
294,219,10,3,2,2,1,4,1,1,0,6,False
267,246,11,2,2,1,3,5,0,1,1,4,True
258,263,8,1,2,1,1,1,0,2,0,6,True
276,230,20,0,1,1,2,2,2,1,0,8,False
267,244,9,6,2,4,0,4,0,1,0,6,True
257,252,16,2,1,5,1,0,2,1,0,6,True
271,236,19,6,2,4,0,0,2,0,1,2,True
247,259,19,7,0,1,0,5,0,1,0,4,True
304,207,14,2,0,4,0,2,0,0,1,9,False
219,282,13,10,0,6,0,5,1,1,0,6,False
237,271,20,4,1,1,0,0,0,1,0,8,True
273,234,11,4,4,1,1,2,2,1,2,8,False
244,269,4,12,1,5,1,4,0,1,2,0,True
295,220,9,7,4,1,0,1,2,2,0,2,False
209,289,16,11,1,4,0,4,1,0,2,6,False
294,217,0,15,1,2,2,1,1,2,1,7,False
239,264,13,11,0,1,3,5,2,0,2,3,True
304,197,22,5,4,2,3,2,0,0,2,2,False
256,255,6,2,3,4,2,5,0,1,0,9,True
308,201,18,0,1,5,2,4,1,2,1,0,False
234,294,1,6,0,2,2,1,1,2,0,0,False
239,274,9,9,0,4,0,4,0,2,0,2,False
308,209,5,10,1,2,3,0,1,0,1,3,False
267,224,25,0,5,6,1,1,2,2,0,10,True
333,189,1,10,0,4,0,4,0,0,0,2,False
297,191,20,9,1,6,2,4,0,2,1,10,False
265,254,7,0,0,6,2,2,2,0,0,5,True
255,258,16,3,3,3,2,1,0,0,2,0,True
292,234,2,11,0,1,1,1,0,0,1,0,False
252,255,12,11,1,4,3,2,0,1,1,1,True
