State,Total_Seats,Reserved_Seats_Target,Representation_Score,Avg_Predicted_Win_Prob,Avg_Gender_Gap,GEN_Reserved,SC_Reserved,ST_Reserved,Top_Const_Names,Swing_Proxy,Strategy,Objective_Score
Punjab,235,78,30.459506977403837,0.3905064997103056,0.0018345708075277122,37,41,0,"SERAJ, RUPAR, HARIANA, PHUL, AMRITSAR SADAR",0.0018345708075277122,Representation-First,30.459506977403837
Kerala,240,80,30.347141006031293,0.3793392625753912,0.0018165906002620366,53,23,4,"MLALA, KRISHNAPURAM, HOSDRUG, SULTHANBATHERY, NORTH WYNAD",0.0018165906002620366,Representation-First,30.347141006031293
Madras,160,53,29.32619490102151,0.5533244320947455,0.0018976075543175,47,6,0,"NAGERCOIL, PUDUKKOTTAI, NANNILAM, TIRUPPUR, TIRUKOILUR",0.0018976075543175,Representation-First,29.32619490102151
Assam,178,59,24.91197604218296,0.42223688207089766,0.0018675317328800322,24,11,24,"BOKAKHAR, DUDNAI, BAGHMARA, MAJULI(ST)GUDIVADA, AIJAL EAST",0.0018675317328800322,Representation-First,24.91197604218296
Chhattisgarh,121,40,19.29991665428427,0.48249791635710676,0.0019065218985821523,1,4,35,"DANTEWADA, CHITRAKOTE, KONTA, JARHAGAON, BHANPURI",0.0019065218985821523,Representation-First,19.29991665428427
Jammu_&_Kashmir,151,50,18.25742044743157,0.36514840894863143,0.0017917487456561082,37,13,0,"CHEHANI GHORDI, BHADARWAH, CHANANI, CHENANI, R.S. PURA",0.0017917487456561082,Representation-First,18.25742044743157
Delhi,141,47,17.6836432370353,0.3762477284475596,0.0018147145125780462,20,27,0,"SHADIPUR, DELHI CONTONMENT, SEEMAPURI, BALJEETNAGAR, PATPAR GANJ",0.0018147145125780462,Representation-First,17.6836432370353
Arunachal_Pradesh,91,31,16.878643358348125,0.5444723663983266,0.0019106974544768032,0,0,31,"MUKTO, PONGCHOU-WAKKA, PAKKE KESSANG, ZIRO HAPOLI, CHANGLANG SOUTH",0.0019106974544768032,Representation-First,16.878643358348125
Himachal_Pradesh,105,35,15.56547515982518,0.44472786170929085,0.0019027057239658402,9,21,5,"OUTER SERAJ, ANI, LAHAUL SPITI, CHURAH, LAHAUL & SPITI",0.0019027057239658402,Representation-First,15.56547515982518
Telangana,119,40,15.481877872556373,0.38704694681390933,0.001832044095506185,10,18,12,"BOATH, ANDOLE, DORNAKAL, ACHAMPET, DEVARAKONDA",0.001832044095506185,Representation-First,15.481877872556373
Haryana,131,44,15.416351012933927,0.3503716139303165,0.001759507789569466,21,23,0,"RAJAUND, ISRANA, KALANWALI, BABAIN, KANINA",0.001759507789569466,Representation-First,15.416351012933927
Meghalaya,94,32,14.985053639390088,0.46828292623094026,0.001923547831330078,0,0,32,"LAITUMKHIRAH, RESUBELPARA, MAIRANG(ST), WAR-JAINTIA, MENDIPATHAR",0.001923547831330078,Representation-First,14.985053639390088
Mizoram,92,31,14.080699675733708,0.4542161185720551,0.001917567992119255,0,0,31,"TUICHAWNG, WEST TUIPUI, DAMPA, HACHHEK, AIZAWL SOUTH II",0.001917567992119255,Representation-First,14.080699675733708
Uttarakhand,94,32,13.19453298481961,0.4123291557756128,0.0018714291944083188,15,15,2,"NANAK MATTA, CHAKRATA, PINDAR, MUKTESHWAR, BAGESHWAR",0.0018714291944083188,Representation-First,13.19453298481961
Jharkhand,94,32,12.516480612284498,0.39114001913389057,0.0018431674884543561,0,4,28,"GHATSILA, MAJHGAON, GHATSHILA, MANIKA, MANDAR",0.0018431674884543561,Representation-First,12.516480612284498
Manipur,79,27,11.792917156784226,0.4367747095105269,0.0019013951948245555,9,1,17,"TIPAIMUKH, UKHRUL, KAKCHING, NUNGBA, SUGNU",0.0019013951948245555,Representation-First,11.792917156784226
Tripura,75,25,10.829745817073253,0.4331898326829301,0.0018863475193004158,11,4,10,"MUHURIPUR, BISHRAMGONJ, DUMBURNAGAR, TAKARJALA, MANU",0.0018863475193004158,Representation-First,10.829745817073253
Nagaland,69,23,10.36625540639289,0.45070675679969086,0.0019156114064688,0,0,23,"TYUI, PHOMCHING, TIZIT, TUENSANG SADAR-II, TEHOK",0.0019156114064688,Representation-First,10.36625540639289
Puducherry,59,20,8.347135442799994,0.41735677213999967,0.0018782403239159897,16,4,0,"NEDUNCADU, TIROUBOUVANE, MODELIARPETH, RAJ NIVAS, NELLITOPE",0.0018782403239159897,Representation-First,8.347135442799994
Sikkim,60,20,7.74901792598099,0.3874508962990495,0.0018363819201641252,4,4,2,"SALGHARI-ZOO, WEST PENDA, MARTAM, RALONG, KABI TINGDA",0.0018363819201641252,Representation-First,7.74901792598099
Goa,47,16,6.129849012063358,0.3831155632539599,0.0018286344763312375,15,1,0,"PORIEM, POINGUINIM, DARGALIM, CALANGUTE, BICHOLIM",0.0018286344763312375,Representation-First,6.129849012063358
Goa_Daman_&_Diu,39,13,4.138819458081417,0.3183707275447244,0.0016810693695957616,12,1,0,"PERNEM, RIVONA, MAPUSA, PALE, NAVELIM",0.0016810693695957616,Representation-First,4.138819458081417
